model,L,agg,q_thr,thr,AUC,P,R,F1,pred_pos_rate
LogReg,8,max,0.8,0.5004203337056187,0.5579206019181875,0.5454545454545454,0.32273838630806845,0.4055299539170507,0.29876543209876544
NaiveBayes,8,max,0.8,0.5022875456391431,0.5483845398728118,0.5782312925170068,0.2078239608801956,0.3057553956834532,0.1814814814814815
SVM(Linear),8,max,0.8,0.0034922807131683017,0.4197513551085611,0.05555555555555555,0.004889975550122249,0.008988764044943821,0.044444444444444446
LogReg,16,max,0.8,0.5029635030769543,0.5401410898182417,0.5443037974683544,0.10513447432762836,0.1762295081967213,0.09753086419753086
NaiveBayes,16,max,0.8,0.5219982639231482,0.5317513063307502,0.5953757225433526,0.25183374083129584,0.3539518900343643,0.21358024691358024
SVM(Linear),16,max,0.8,0.024700286400672688,0.43931125730905013,0.05714285714285714,0.004889975550122249,0.009009009009009009,0.043209876543209874
LogReg,32,max,0.8,0.5147732883158586,0.48993652787347036,0.17142857142857143,0.014669926650366748,0.02702702702702703,0.043209876543209874
NaiveBayes,32,max,0.8,0.5870890012746985,0.5629386192221159,0.5708333333333333,0.33496332518337407,0.4221879815100154,0.2962962962962963
SVM(Linear),32,max,0.8,0.0488553281140363,0.42847648604649746,0.08,0.004889975550122249,0.009216589861751152,0.030864197530864196
LogReg,56,max,0.8,0.5270662767287967,0.48204671694846013,0.24324324324324326,0.022004889975550123,0.04035874439461883,0.04567901234567901
NaiveBayes,56,max,0.8,0.7146368748840847,0.522007938588736,0.5274725274725275,0.35207823960880197,0.4222873900293255,0.337037037037037
SVM(Linear),56,max,0.8,0.07329258720486904,0.42765336048631475,0.03125,0.0024449877750611247,0.0045351473922902496,0.03950617283950617
LogReg,64,max,0.8,0.5319461704797938,0.4402990079812693,0.0,0.0,0.0,0.03827160493827161
NaiveBayes,64,max,0.8,0.7021516324644035,0.547939442347676,0.5574324324324325,0.4034229828850856,0.46808510638297873,0.3654320987654321
SVM(Linear),64,max,0.8,0.08436060170322947,0.41797096500801784,0.06666666666666667,0.004889975550122249,0.009111617312072893,0.037037037037037035
LogReg,80,max,0.8,0.5334139897818571,0.5076977482943009,0.23529411764705882,0.019559902200488997,0.03611738148984198,0.04197530864197531
NaiveBayes,80,max,0.8,0.7095928905827644,0.5540732520776298,0.5330396475770925,0.29584352078239606,0.3805031446540881,0.2802469135802469
SVM(Linear),80,max,0.8,0.09109862000124545,0.45862117322829843,0.08695652173913043,0.004889975550122249,0.009259259259259259,0.028395061728395062
